,Unnamed: 0,previous_day_admission_influenza_confirmed
1291,75151,0.0
1292,80177,0.0
1293,77915,0.0
1294,79501,0.0
1295,77463,0.0
1296,68086,0.0
1297,65425,0.0
1298,64476,1.0
1299,61321,2.0
1300,70595,1.0
1301,71430,2.0
1302,70655,0.0
1303,62804,0.0
1304,63973,0.0
1305,64598,0.0
1306,69448,0.0
1307,71824,0.0
1308,69730,1.0
1309,71266,0.0
1310,61411,0.0
1311,64087,0.0
1312,64720,1.0
1313,72318,1.0
1314,67491,1.0
1315,70653,2.0
1316,64558,1.0
1317,63616,1.0
1318,62088,2.0
1319,67905,2.0
1320,71882,1.0
1321,64653,1.0
1322,63668,1.0
1323,60994,1.0
1324,64181,1.0
1325,62878,2.0
1326,72207,2.0
1327,68794,0.0
1328,72532,1.0
1329,72245,1.0
1330,62356,1.0
1331,64260,0.0
1332,71033,1.0
1333,72658,1.0
1334,71223,2.0
1335,64005,1.0
1336,62359,1.0
1337,72542,1.0
1338,72598,1.0
1339,71168,0.0
1340,64419,1.0
1341,63989,1.0
1342,66291,1.0
1343,65153,0.0
1344,72315,0.0
1345,63539,0.0
1346,73472,2.0
1347,73285,2.0
1348,71422,0.0
1349,65429,1.0
1350,65102,0.0
1351,73535,0.0
1352,73962,0.0
1353,65621,1.0
1354,64888,3.0
1355,61544,0.0
1356,73382,0.0
1357,68233,0.0
1358,71977,0.0
1359,67027,1.0
1360,64846,2.0
1361,68321,1.0
1362,64674,1.0
1363,73045,1.0
1364,62275,2.0
1365,67444,2.0
1366,71230,0.0
1367,73679,1.0
1368,63520,1.0
1369,69977,1.0
1370,72240,0.0
1371,72262,3.0
0
,14.0
7,7.0
1497,71955,4.0
