,Unnamed: 0,previous_day_admission_influenza_confirmed
1312,67502,3.0
1313,71562,6.0
1314,65783,3.0
1315,66866,6.0
1316,66164,4.0
1317,72423,4.0
1318,66632,6.0
1319,69056,7.0
1320,73769,6.0
1321,62561,1.0
1322,73728,11.0
1323,66185,3.0
1324,72389,5.0
1325,69379,1.0
1326,62768,8.0
1327,67218,6.0
1328,65670,3.0
1329,71784,5.0
1330,70208,3.0
1331,68819,13.0
1332,71502,2.0
1333,67542,5.0
1334,69583,5.0
1335,66426,4.0
1336,73251,8.0
1337,66615,7.0
1338,67828,10.0
1339,71153,6.0
1340,72921,9.0
1341,73291,7.0
1342,67460,7.0
1343,73104,14.0
1344,66383,8.0
1345,63224,9.0
1346,61705,16.0
1347,64752,22.0
1348,72563,16.0
1349,69812,28.0
1350,66131,17.0
1351,71927,12.0
1352,70436,14.0
1353,70634,26.0
1354,62129,24.0
1355,60887,25.0
1356,64506,17.0
1357,68718,15.0
1358,63216,21.0
1359,74236,19.0
1360,72379,35.0
1361,68319,21.0
1362,68780,18.0
1363,67246,26.0
1364,60772,16.0
1365,60796,29.0
1366,70366,31.0
1367,72994,30.0
1368,67983,35.0
1369,63965,37.0
1370,69848,36.0
1371,65430,27.0
1372,68211,35.0
1373,63455,31.0
1374,69718,37.0
1375,69709,35.0
1376,69203,36.0
1377,61621,46.0
1378,69036,41.0
1379,63371,53.0
1380,69676,63.0
1381,68332,59.0
1382,67632,71.0
1383,60999,55.0
1384,63744,74.0
1385,69539,67.0
1386,68818,83.0
1387,67578,97.0
1388,66572,116.0
1389,70666,93.0
1390,69951,107.0
1391,67598,122.0
1392,60942,128.0
,68417,48.0
1440,64873,37.0
1441,73722,31.0
