,Unnamed: 0,previous_day_admission_influenza_confirmed
1232,81230,0.0
1233,74836,0.0
1234,80536,0.0
1235,81178,0.0
1236,75997,0.0
1237,76259,0.0
1238,75613,1.0
1239,79268,0.0
1240,81095,1.0
1241,78055,3.0
1242,81527,2.0
1243,80759,0.0
1244,80470,0.0
1245,75391,1.0
1246,74960,2.0
1247,74700,1.0
1248,78334,0.0
1249,77169,0.0
1250,77323,0.0
1251,80373,1.0
1252,74629,0.0
1253,79543,2.0
1254,81037,1.0
1255,74877,3.0
1256,76116,1.0
1257,81269,3.0
1258,79584,2.0
1259,78949,0.0
1260,78511,1.0
1261,78176,0.0
1262,81695,0.0
1263,81151,0.0
1264,75952,0.0
1265,81177,0.0
1266,74474,0.0
1267,80028,1.0
1268,77632,0.0
1269,75250,0.0
1270,80126,0.0
1271,75963,0.0
1272,79310,1.0
1273,75044,1.0
1274,74447,1.0
1275,77887,3.0
1276,81027,1.0
1277,79963,2.0
1278,79457,0.0
1279,68061,8.0
1280,73937,3.0
1281,73641,5.0
1282,67791,0.0
1283,63532,0.0
1284,73300,0.0
1285,62147,1.0
1286,61761,1.0
1287,67925,2.0
1288,73675,2.0
1289,67582,2.0
1290,61162,0.0
1291,62085,0.0
1292,64212,1.0
1293,61951,2.0
1294,67641,0.0
1295,66966,0.0
1296,64103,0.0
1297,70214,0.0
1298,67664,1.0
1299,73483,0.0
1300,73191,1.0
1301,63970,1.0
1302,62678,0.0
1303,65880,0.0
1304,61766,1.0
1305,62537,0.0
1306,68809,0.0
1307,68032,0.0
1308,68665,0.0
1309,63677,0.0
1310,61324,0.0
1311,69633,0.0
1312,72580,1.0
3,31.0
1408,68691,21.0
1409,64642,30.0
1410,71532,18.0
1,30.0
1445,70344,23.0
