,Unnamed: 0,previous_day_admission_influenza_confirmed
1396,73114,6.0
1397,64902,9.0
1398,71123,10.0
1399,73167,7.0
1400,72524,7.0
1401,65126,5.0
1402,64112,8.0
1403,74042,9.0
1404,73916,6.0
1405,70709,7.0
1406,65779,10.0
1407,67700,8.0
1408,63678,4.0
1409,72188,2.0
1410,70147,5.0
1411,72297,7.0
1412,70547,4.0
1413,67468,2.0
1414,71040,5.0
1415,73924,7.0
1416,960,5.0
1417,63195,9.0
1418,63256,6.0
1419,68142,8.0
1420,66407,1.0
1421,70964,5.0
1422,72701,7.0
1423,71335,5.0
1424,70298,5.0
1425,67967,6.0
1426,67874,8.0
1427,61159,12.0
1428,71788,2.0
1429,939,7.0
1430,71510,9.0
1431,67897,9.0
1432,68325,9.0
1433,63404,3.0
1434,61482,1.0
1435,63548,4.0
1436,72216,5.0
1437,64424,7.0
1438,68586,4.0
1439,65493,3.0
1440,72228,5.0
1441,61589,3.0
1442,70935,3.0
1443,67710,2.0
1444,67795,5.0
1445,74232,3.0
1446,60705,5.0
1447,73441,5.0
1448,71427,6.0
1449,63923,4.0
1450,69276,5.0
1451,69648,6.0
1452,62213,3.0
1453,66539,3.0
1454,908,3.0
1455,72854,1.0
1456,66125,4.0
1457,65909,3.0
1458,66837,4.0
1459,73885,4.0
1460,63637,2.0
1461,70044,4.0
1462,69054,1.0
1463,70197,3.0
1464,72887,4.0
1465,73619,3.0
1466,73013,5.0
1467,73981,5.0
1468,894,1.0
1469,71845,0.0
1470,70478,3.0
1471,62966,4.0
1472,67348,5.0
1473,72633,2.0
1474,73771,6.0
1475,65684,4.0
1476,66322,5.0
,1.0
