,0
0,0.12165499302531038
1,0.12116783721006003
2,0.12291465856062596
3,0.12253256992587037
4,0.12362853478045079
5,0.1236897610865689
6,0.12469729295593347
7,0.1246562166405302
8,0.1249554271384905
9,0.12280383201956377
10,0.12352280058793128
11,0.12250190737481917
12,0.12511924646910225
13,0.12960566161377135
14,0.12348627899607746
15,0.12219831773968907
16,0.1221024771768388
17,0.1225998695420862
18,0.12245155494589438
19,0.11681989920674367
20,0.11316260703701815
21,0.11419281674384783
22,0.11128786393042296
23,0.12305254509578094
24,0.12128984137329542
25,0.11913402792601659
26,0.12089676037422703
27,0.1187367486871776
28,0.11208885875253526
29,0.11154036111796774
30,0.11395926099752773
31,0.11314856267268203
32,0.12129277432003217
33,0.1196127811803068
34,0.12229893084897504
35,0.127605794169564
36,0.11898791728783703
37,0.11615435291602615
38,0.11490757649466792
39,0.11967504386954055
40,0.11641140888297904
41,0.1181334367269115
42,0.11195220189551328
43,0.10941842353665109
44,0.11115848279744707
45,0.10452523944717819
46,0.10260422643005745
47,0.10118522300476883
48,0.09908763097144677
49,0.10729449074444537
50,0.10466421563739377
51,0.10806445731345249
52,0.10726695908505124
53,0.11004031136035157
54,0.1262888018277922
55,0.11927773825211441
56,0.11978688990828172
57,0.1187542670246457
58,0.11157814325235924
59,0.11219761142917002
60,0.11127646520376204
61,0.11152426837615514
62,0.11646975328853251
63,0.11972707768360634
64,0.12167780675986459
65,0.1228524659833287
66,0.12173938804052178
67,0.13210945423847728
68,0.13371449275293326
69,0.12767167223903017
70,0.13953580245557026
71,0.12941084987040438
72,0.1270948491459127
73,0.12920442794939965
74,0.12711500202769666
75,0.11706612674312027
76,0.12176662189265185
77,0.12843872224888214
78,0.12837770059421788
79,0.12074070588411442
